Date,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadra & Nagar Haveli,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Lakshwadeep,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telanagana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
04-05-2020,1,10,1,7,6,3,4,1,11,1,13,8,5,4,4,16,14,0,0,10,31,2,1,1,0,7,2,3,17,0,36,9,1,20,4,10
11-05-2020,1,10,1,7,6,3,4,1,12,1,16,8,5,5,4,17,14,0,0,12,33,2,3,1,0,7,2,3,17,0,38,8,1,22,4,11
18-05-2020,1,10,1,7,6,3,4,1,12,1,17,9,5,6,4,18,14,0,0,12,34,2,3,1,1,10,2,3,18,0,40,8,1,22,4,11
25-05-2020,1,10,1,8,6,3,4,1,13,1,19,9,5,6,4,21,14,0,0,13,36,2,1,1,1,10,2,3,19,0,41,8,1,22,4,12
01-06-2020,1,10,1,8,6,3,4,1,13,1,20,9,5,6,4,27,14,1,0,14,36,2,1,1,1,10,2,3,19,1,44,8,1,22,5,13
08-06-2020,1,10,1,10,6,3,4,1,14,1,21,9,6,6,4,28,14,1,0,14,42,2,1,1,1,11,2,3,21,1,44,9,1,23,5,15
15-06-2020,1,11,1,11,6,3,4,1,14,1,22,12,7,6,4,28,15,1,0,15,43,2,1,1,1,11,2,3,21,1,44,9,1,23,6,15
22-06-2020,1,11,1,11,6,3,4,1,15,1,23,12,7,6,4,31,16,1,0,15,44,2,2,1,1,11,2,3,21,1,45,9,1,23,6,16
29-06-2020,1,11,1,11,6,3,4,1,15,1,22,12,7,6,4,32,16,1,0,15,44,2,2,1,1,11,2,3,23,1,46,9,1,23,6,17
06-07-2020,1,11,1,10,7,3,4,1,15,1,22,12,8,6,4,33,16,1,0,15,46,2,2,1,1,13,2,3,23,1,46,10,1,24,6,18
13-07-2020,1,11,1,10,7,3,4,1,16,1,22,12,8,6,4,34,16,1,0,17,47,3,2,1,1,13,2,3,25,1,47,10,1,32,6,18
20-07-2020,1,11,1,10,7,3,4,1,16,1,23,13,8,6,5,35,16,1,0,17,47,3,2,1,1,13,2,3,26,1,49,10,1,32,6,21
27-07-2020,1,13,1,11,7,3,4,1,16,1,23,12,8,6,5,37,17,2,0,17,48,3,2,1,2,13,3,3,26,1,49,10,1,32,6,22
03-08-2020,1,13,1,11,8,3,7,1,16,1,23,12,8,6,5,38,18,3,0,18,50,3,2,1,2,13,3,4,26,1,50,10,1,32,6,23
10-08-2020,1,13,1,11,8,3,7,1,17,1,23,12,8,6,5,39,19,3,0,18,53,3,2,1,2,13,3,7,26,1,51,10,1,33,6,23
17-08-2020,1,13,1,11,9,3,7,1,17,1,23,12,8,6,6,41,22,3,0,19,53,3,2,1,2,13,3,7,26,1,51,11,1,43,6,23
24-08-2020,1,13,1,11,9,3,7,1,17,1,23,14,8,7,6,41,22,3,0,19,57,3,2,1,2,13,3,7,27,1,52,11,1,42,6,23
31-08-2020,1,13,1,11,9,3,7,1,17,1,23,14,8,8,7,43,23,3,0,19,57,3,2,1,2,13,3,7,27,1,52,11,1,43,6,23
07-09-2020,1,13,1,11,9,3,7,1,17,1,23,14,8,9,7,43,23,3,0,19,57,3,2,1,3,13,3,8,27,1,52,11,1,43,6,23
14-09-2020,1,13,1,12,10,3,7,1,17,1,23,14,8,9,7,43,23,3,0,19,58,3,2,1,3,13,3,8,27,1,53,11,2,43,6,23
21-09-2020,1,13,1,12,10,3,7,1,17,1,23,15,8,10,7,43,23,3,0,19,58,3,2,1,3,13,3,8,27,1,54,11,2,43,6,24
28-09-2020,1,13,1,12,10,3,7,1,18,1,23,15,8,10,7,43,23,3,0,19,59,3,2,1,3,13,3,8,27,1,54,11,2,44,6,24
05-10-2020,1,14,1,12,10,3,7,1,19,1,23,16,8,10,7,43,23,3,0,19,59,3,2,1,3,13,3,9,27,1,54,12,2,44,6,24
12-10-2020,1,14,1,12,10,3,7,1,19,1,23,16,8,11,7,43,23,3,0,19,61,3,1,1,3,13,3,9,27,1,54,12,2,44,6,24
19-10-2020,1,15,1,12,10,3,7,1,19,1,23,16,8,11,7,43,23,3,0,19,61,3,3,1,3,13,3,9,27,1,54,12,2,44,6,24
26-10-2020,1,15,1,12,10,3,7,1,19,1,23,16,8,11,7,43,24,4,0,19,62,3,3,1,3,13,3,9,28,1,54,12,2,44,8,24
02-11-2020,1,15,1,12,10,3,7,1,20,1,23,17,8,11,7,44,24,4,0,19,63,3,3,1,3,13,3,9,31,1,54,13,2,44,8,24
09-11-2020,1,15,1,12,10,3,7,1,21,1,23,17,8,11,7,44,24,4,0,19,65,3,3,1,3,13,3,9,31,1,54,14,2,44,8,24
16-11-2020,1,16,1,12,10,3,7,1,21,1,23,17,8,11,7,44,24,4,0,19,65,3,3,1,3,13,3,9,36,1,54,14,2,44,8,24
