Date,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadra & Nagar Haveli,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Lakshwadeep,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telanagana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
04-05-2020,0,0,0,0,0,0,0,0,13,0,8,7,0,0,1,7,5,0,0,3,20,0,0,0,0,1,0,1,3,0,13,11,0,3,1,4
11-05-2020,0,0,0,0,0,0,0,0,14,0,11,7,0,0,1,11,5,0,0,4,22,0,0,0,0,1,0,2,3,0,15,11,0,4,1,7
18-05-2020,0,0,0,1,0,0,0,0,15,0,11,7,0,0,1,14,5,0,0,5,25,0,0,0,0,2,0,2,3,0,20,11,0,4,1,7
25-05-2020,0,0,0,1,1,0,0,0,16,0,12,7,0,0,1,19,5,0,0,6,26,0,0,0,0,3,0,2,3,0,24,12,0,4,1,7
01-06-2020,0,3,0,1,1,0,0,0,20,0,12,7,0,0,1,22,5,0,0,6,31,0,0,0,0,3,0,2,4,0,25,15,0,4,1,8
08-06-2020,0,5,0,1,1,0,0,0,21,0,13,7,0,0,1,23,6,0,0,6,33,0,0,0,0,3,0,2,3,0,28,15,0,4,1,8
15-06-2020,0,5,0,1,2,0,0,0,22,0,13,7,0,0,1,24,6,0,0,6,33,0,0,0,0,3,0,2,4,0,29,17,0,4,1,9
22-06-2020,0,5,0,1,2,0,0,0,21,0,14,7,0,0,1,25,7,0,0,6,32,0,0,0,0,3,0,2,4,0,34,17,0,4,1,10
29-06-2020,0,6,0,1,2,0,0,0,23,0,15,7,0,0,1,28,7,0,0,6,33,0,0,0,0,4,0,2,6,0,34,17,0,4,2,10
06-07-2020,0,7,0,1,2,0,0,0,24,0,16,8,0,0,2,30,7,0,0,7,34,0,0,0,0,5,1,3,6,0,35,20,0,4,2,11
13-07-2020,0,7,0,1,2,0,0,0,24,0,17,8,0,0,2,31,7,0,0,7,37,0,0,0,0,5,1,3,8,0,40,20,0,5,2,11
20-07-2020,0,7,0,1,2,0,0,0,24,0,17,9,0,0,2,35,8,0,0,7,39,1,0,0,0,5,1,3,10,0,40,21,0,6,2,12
27-07-2020,0,8,0,1,2,0,0,0,26,0,17,9,0,0,2,37,8,0,0,7,40,1,0,0,0,5,1,4,9,0,42,21,0,7,2,12
03-08-2020,0,8,0,1,2,0,0,0,28,0,18,9,0,0,2,38,8,0,0,7,41,1,0,0,0,5,1,4,10,0,42,22,0,9,2,13
10-08-2020,0,8,0,1,2,0,0,0,28,0,18,10,0,0,2,40,9,0,0,9,44,1,0,0,0,5,1,4,10,0,47,25,0,10,2,13
17-08-2020,0,8,0,1,2,0,0,0,29,0,18,11,0,0,4,41,9,0,0,9,45,1,0,0,0,5,2,4,10,0,51,28,0,11,2,14
24-08-2020,0,10,0,1,4,0,0,0,31,0,18,12,0,0,4,43,11,0,0,11,48,1,0,0,0,5,2,4,11,0,52,31,0,13,2,14
31-08-2020,0,12,0,1,4,0,0,0,31,0,20,12,0,0,4,47,13,0,0,11,52,1,0,0,0,5,2,4,12,0,58,33,0,15,2,14
07-09-2020,0,12,0,1,4,1,0,0,31,0,21,13,0,0,4,56,15,0,0,11,52,1,0,0,0,5,2,5,13,0,62,36,0,16,3,15
14-09-2020,0,14,0,1,4,1,2,0,32,0,21,13,0,0,5,61,16,0,0,11,55,1,0,0,0,6,2,6,13,0,65,39,0,16,3,16
21-09-2020,0,17,0,1,4,1,2,0,33,0,21,13,0,0,6,66,18,0,0,12,58,1,0,0,0,6,2,6,13,0,70,41,0,19,3,17
28-09-2020,0,17,0,1,5,1,2,0,34,0,22,14,0,0,6,70,18,0,0,12,61,1,0,0,0,6,3,6,13,0,79,44,0,19,3,17
