State,Confirmed,,,,,,,,,,,,
Andaman and Nicobar Islands,10035,,,,,,,,,,,,
Andhra Pradesh,2319666,,,,,,,,,,,,
Arunachal Pradesh,64495,,,,,,,,,,,,
Assam,724210,,,,,,,,,,,,
Bihar,830533,,,,,,,,,,,,
Chandigarh,92022,,,,,,,,,,,,
Chhattisgarh,1152248,,,,,,,,,,,,
Dadra and Nagar Haveli and Daman and Diu,11441,,,,,,,,,,,,
Delhi,1877091,,,,,,,,,,,,
Goa,245395,,,,,,,,,,,,
Gujarat,1224276,,,,,,,,,,,,
Haryana,990279,,,,,,,,,,,,
Himachal Pradesh,284778,,,,,,,,,,,,
Jammu and Kashmir,454013,,,,,,,,,,,,
Jharkhand,435212,,,,,,,,,,,,
Karnataka,3947083,,,,,,,,,,,,
Kerala,6539977,,,,,,,,,,,,
Ladakh,28245,,,,,,,,,,,,
Lakshadweep,11402,,,,,,,,,,,,
Madhya Pradesh,1041336,,,,,,,,,,,,
Maharashtra,7877078,,,,,,,,,,,,
Manipur,137217,,,,,,,,,,,,
Meghalaya,93795,,,,,,,,,,,,
Mizoram,227152,,,,,,,,,,,,
Nagaland,35488,,,,,,,,,,,,
Odisha,1288007,,,,,,,,,,,,
Puducherry,165784,,,,,,,,,,,,
Punjab,759476,,,,,,,,,,,,
Rajasthan,1283412,,,,,,,,,,,,
Sikkim,39150,,,,,,,,,,,,
Tamil Nadu,3453679,,,,,,,,,,,,
Telangana,791857,,,,,,,,,,,,
Tripura,100879,,,,,,,,,,,,
Uttar Pradesh,2073303,,,,,,,,,,,,
Uttarakhand,437415,,,,,,,,,,,,
West Bengal,2018067,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
